iter	Passed	Remaining
399	31617	126471
400	31680	126325
401	31746	126197
402	31840	126178
403	31935	126160
404	32013	126077
405	32083	125962
406	32160	125877
407	32238	125791
408	32317	125715
409	32383	125584
410	32461	125503
411	32526	125369
412	32601	125276
413	32668	125152
414	32754	125098
415	32834	125022
416	32901	124897
417	32965	124764
418	33042	124676
419	33122	124602
420	33189	124480
421	33249	124332
422	33325	124241
423	33391	124114
424	33456	123984
425	33530	123888
426	33605	123798
427	33675	123685
428	33773	123678
429	33839	123551
430	33934	123532
431	34008	123437
432	34093	123381
433	34185	123350
434	34255	123239
435	34319	123110
436	34378	122959
437	34440	122822
438	34535	122801
439	34603	122684
440	34665	122548
441	34732	122429
442	34793	122287
443	34863	122177
444	34930	122058
445	35018	122015
446	35111	121986
447	35190	121910
448	35252	121774
449	35322	121666
450	35411	121623
451	35502	121586
452	35578	121501
453	35655	121418
454	35724	121305
455	35811	121255
456	35875	121127
457	35957	121062
458	36025	120947
459	36087	120813
460	36173	120761
461	36249	120674
462	36327	120595
463	36408	120523
464	36473	120402
465	36537	120275
466	36601	120150
467	36668	120034
468	36742	119941
469	36819	119857
470	36897	119780
471	36962	119657
472	37041	119582
473	37135	119554
474	37204	119445
475	37268	119321
476	37340	119223
477	37404	119099
478	37474	118994
479	37564	118954
480	37638	118862
481	37735	118843
482	37814	118767
483	37897	118704
484	37968	118602
485	38037	118496
486	38104	118381
487	38176	118285
488	38255	118210
489	38314	118071
490	38411	118051
491	38487	117964
492	38554	117854
493	38631	117772
494	38721	117729
495	38794	117636
496	38887	117602
497	38953	117486
498	39025	117390
499	39104	117312
500	39199	117284
501	39267	117175
502	39350	117113
503	39428	117034
504	39493	116915
505	39559	116801
506	39631	116706
507	39696	116589
508	39780	116527
509	39851	116427
510	39917	116314
511	39997	116242
512	40067	116139
513	40134	116030
514	40227	115994
515	40291	115876
516	40364	115785
517	40430	115672
518	40498	115565
519	40571	115472
520	40639	115367
521	40711	115270
522	40797	115216
523	40878	115145
524	40942	115027
525	41035	114994
526	41117	114926
527	41176	114793
528	41253	114715
529	41337	114653
530	41428	114611
531	41489	114486
532	41566	114406
533	41633	114298
534	41716	114232
535	41807	114190
536	41900	114154
537	41993	114116
538	42060	114007
539	42142	113941
540	42225	113877
541	42322	113849
542	42394	113753
543	42459	113642
544	42547	113589
545	42629	113522
546	42686	113388
547	42761	113302
548	42829	113196
549	42905	113114
550	42981	113030
551	43063	112963
552	43152	112915
553	43228	112830
554	43289	112708
555	43381	112667
556	43449	112561
557	43522	112471
558	43592	112373
559	43662	112275
560	43736	112187
561	43798	112067
562	43865	111962
563	43950	111903
564	44023	111811
565	44105	111744
566	44179	111656
567	44246	111549
568	44324	111474
569	44393	111373
570	44484	111327
571	44564	111254
572	44627	111139
573	44689	111022
574	44758	110922
575	44828	110825
576	44911	110760
577	45006	110726
578	45075	110625
579	45159	110563
580	45240	110492
581	45316	110410
582	45384	110309
583	45450	110202
584	45525	110117
585	45618	110076
586	45681	109962
587	45747	109856
588	45814	109752
589	45882	109650
590	45958	109568
591	46030	109477
592	46120	109429
593	46207	109373
594	46297	109324
595	46375	109247
596	46444	109149
597	46502	109025
598	46592	108975
599	46662	108878
600	46727	108772
601	46793	108667
602	46864	108573
603	46954	108523
604	47036	108455
605	47129	108413
606	47202	108325
607	47284	108255
608	47353	108159
609	47426	108069
610	47489	107958
611	47574	107898
612	47649	107814
613	47726	107734
614	47810	107670
615	47894	107607
616	47960	107502
617	48049	107451
618	48127	107373
619	48195	107274
620	48258	107163
621	48335	107083
622	48429	107042
623	48521	106996
624	48593	106905
625	48678	106844
626	48764	106783
